Title,URL,Description
0A Introduction to R Programming for the Social Sciences,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/0a-introduction-to-r-programming-for-the-social-sciences/,"Please note: This course will be taught online only. In person study is not available for this course.Â Johannes Karreth is Associate Professor in the Department of Politics and International Relations at Ursinus College near Philadelphia, Pennsylvania. He earned his Ph.D. at the University of Colorado Boulder and was previously Assistant Professor at the University at Albany-State University of New York. His research studies the impact of international actors and processes on politics, ranging from the macro-level (interstate conflicts, civil wars, trade disputes) to the micro-level (public opinion on globalization and immigration). His main interests in political methodology are Bayesian approaches to multilevel structures, and data visualization. He is the author of Incentivizing Peace: How International Organizations Can Help Prevent Civil Wars in Member CountriesÂ (with Jaroslav Tir; Oxford University Press 2018). His research has appeared in the Journal of Politics, Journal of Conflict Resolution, Journal of Peace Research, International Interactions, Comparative Political Studies, and other journals. The course will introduce participants to the open-source statistical software R, with the goal of empowering participants to write and use R code for a wide variety of quantitative applications. R is a highly versatile software environment suitable for introductory and advanced quantitative social science and data analysis. The course offers participants a near-complete foundation to use R in other courses at ESS. Specifically, the course will explore the following topics: Â· Introduction to the R language and software architecture Â· Use of the tidyverse suite of R packages Â· Incorporating R code and document production (R Markdown) Â· Workflow, reproducibility, and version control in R Â· Data import and data management, including working with âmessyâ datasets Â· Data visualization Â· Basic functions Course Objectives Upon successful completion of this course, participants will have acquired intermediate R skills aligned with most ESS courses that rely on R. The course is suitable for researchers at the beginning of their quantitative training as well as researchers with advanced background in quantitative social science wishing to acquire a new, free, open-source, and highly versatile set of tools. A workflow for reproducible data analysis is also a core element of the course.Â Course Prerequisites This is an introductory, highly accessible course. No prior knowledge of statistical or quantitative methods, or R, or computer programming is required. Participants with experience in other tools (e.g. SPSS, Stata, or SAS) will find the course structure helpful to transfer their skillsets into R. Representative Background Reading Since this is an introductory course, participants are not required to complete any prior reading. Required texts Wickham, Hadley, Mine Ãetinkaya-Rundel, and Garrett Grolemund. 2023. R for Data Science, 2nd edition. Sebastopol, CA: OâReilly. ISBN: 9781492097402"
1A Mathematics for Social Scientists,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1a-mathematics-for-social-scientists-part-1/,"Please note: This course will be taught online only. In person study is not available for this course.Â Mathematics for Social Scientists is offered throughout the six weeks with teaching scheduled daily before other courses. If taken in conjunction with another course, there is no extra charge. Christopher Saker is a Lecturer in the Department of Mathematical Sciences and the Manager of the Essex Further Mathematics Centre. His research interests lie in the combinatorics of words, particularly the study of unavoidable sets. Course Objectives This course is intended for those with little recent mathematical experience but who are motivated to learn. The aim is to provide a service course in support of other Summer School courses (primarily in the analysis of quantitative data) by presenting a unified introduction to the mathematical ideas and techniques used in those courses. The structure of the course is arranged, firstly, to provide an introduction to the concepts and techniques for the practical side of the subject, and, secondly, to develop a more deeper understanding of the ways in which these concepts and techniques are connected. Summer School participants may take any one Part and/or all three Parts of the course, but anyone taking Parts 2 or 3 will be presumed to be familiar with the material covered in the preceding Parts. Course Content Part 1 of the course is an introductory module which begins by reviewing the equations and graphs of straight lines and simple curves. It progresses to the study of functions such as trigonometric, logarithmic and exponential functions. The session concludes with an introduction to differentiation and some of its applications Course Prerequisites Participants in the course should be familiar with the basic ideas of arithmetic and algebra (addition, subtraction, multiplication, division, use of brackets, positive, negative, fractional powers, and the solution of simple equations). Students should possess a basic scientific calculator. Recommended Reading For a review of the concepts listed in the prerequisites we recommend the Algebra Refresher which can be found by following the revision booklets link from mathcentre.ac.uk. Note that the site also has learning resources available for these and other basic mathematical topics. Additional Reading Haeussler, E.F., Paul, R.S., and, Wood, R. 2004. Introductory Mathematical Analysis for Business, Economics, and the Life and Social Sciences. Prentice Hall. Recommendations for other textbooks will be made during the course."
1B Introduction to Quantitative Text Analysis,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1b/,"Please note: This course will be taught online only. In person study is not available for this course. Martijn Schoonvelde is Assistant Professor in European Politics & Society at the University of Groningen. His main research and teaching interests are political communication, political rhetoric, and quantitative text analysis. Course Content With the explosion of digital text data, social scientists are increasingly leveraging sophisticated quantitative text analysis techniques to learn from these data. This course provides a comprehensive introduction to cutting-edge methods and tools in the field of âtext-as-dataâ. We discuss substantive applications of these methods, their theoretical assumptions, and their implementation in the R statistical programming language. The meetings â which combine lectures and coding sessions â will be hands-on, dealing with practical issues in each step of a text as data project. Course Objectives Participants will understand fundamental issues in quantitative text analysis research design such as different types of textual representations; measurement versus prediction; multilingualism; and how to think about validation. Participants will learn to convert texts into informative feature matrices and to analyze those matrices using statistical methods. Participants will learn to apply these methods to a text corpus in support of a substantive research question. Furthermore, participants will be able to critically evaluate (social science) research that uses automated text analysis methods. Course Prerequisites Familiarity with basic research design and statistical analysis is expected, and familiarity with the R statistical programming language is encouraged. Required Text (this will be provided by ESS) Grimmer, J., Roberts, M.E. and Stewart, B.M., 2022. Text as data: A new framework for machine learning and the social sciences. Princeton University Press. ISBN: 9780691207551 Background knowledge required: Computer Background R = elementary Maths Calculus = elementary"
1G Longitudinal and Panel Data Analysis,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1g-longitudinal-and-panel-data-analysis/,"Please note: This course will be taught in hybrid mode. Hybrid delivery of courses will include synchronous live sessions during which on campus and online students will be taught simultaneously. Mark Pickup is a professor in the Department of Political Science at Simon Fraser University. He is a specialist in Political Behaviour, Political Psychology and Political Methodology. Substantively, his research primarily falls into three areas: political identities and political decision-making; conditions of democratic responsiveness and accountability; and polls and electoral outcomes. His research focuses on political information, public opinion, political identities, norms and election campaigns within North American and European countries. His methodological interests concern the analysis of longitudinal data (time series, panel, network, etc.) with secondary interests in Bayesian analysis and survey/lab experiment design. Â His work has appeared in, among others,Â American Journal of Political Science, Journal of Politics, British Journal of Political Science, Political Analysis, Electoral Studies, Political Behavior,Â and Canadian Journal of Political Science. He is also the author of Introduction to Time Series in the Sage Publications, Quantitative Applications in the Social Sciences series. Course description Statistical models can be applied to longitudinal data. Chronological sequences of observations âtime series dataâ allow us to examine the movement of social science variables over time (e.g., public opinion, government policy, judicial decisions, socioeconomic measures), allowing analysts to estimate relationships between variables and test hypotheses. Data collected over both units (e.g., survey respondents, states, countries) and time (e.g., days, months, years) âpanel dataâ are common in the social sciences. By gaining leverage across units and over time, these data help us answer important questions that would be difficult if we only looked at a single point in time (e.g., cross section). Despite these advantages, longitudinal data often show forms of heterogeneity as well as temporal and spatial dependence that make standard regression approaches inappropriate. The course will provide a comprehensive discussion of the fundamental concepts in time series analysis, including: autoregressive, moving-average and unit-root processes; trending, cycling and structural breaks; weak dependence; and the three most important assumptions underlying longitudinal estimates of models, stationarity, exogeneity and balance. It will also provide a broad understanding of panel data analysis, including: the structure and properties of panel data; spatio-temporal dependence; approaches to addressing spatial heterogeneity, such as random and fixed effects; and testing for and modeling dynamics. Throughout, we will also discuss several smaller topics in longitudinal data. A sound background in linear regression models is assumed but prior training in longitudinal data analysis is not required. The course will make use of basic algebra. The lab component of this course will employ Stata. Some familiarity with Stata would be helpful but for those without that familiarity, labs notes will provide a brief introduction. Pre-class preparation For those that would like a mathematics refresher: Wooldridge, Jeffrey. 2012.Â Introductory Econometrics: A Modern Approach.Â 5th ed. Mason, Ohio: Thomson/South-Western, Appendix B.1- B.4. Gill, Jeff. 2006. Essential Mathematics for Political and Social Research. Cambridge: Cambridge University Press, 5.1-5.3 Participants will want to obtain: Pickup, Mark. 2014. Introduction to Time Series Analysis. Quantitative Applications in the Social Sciences, (QASS) Series. Thousand Oaks, California: Sage Publications, Inc. (this will be provided by ESS) Hsiao C. 2014. Analysis of Panel Data, 3rd Edition. New York, NY: Cambridge University Press. (this will be provided by ESS) Background Knowledge Maths Calculus â moderate Linear Regression â strong Statistics OLS â strong Maximum Likelihood â elementary Software Stata â elementary R â elementary"
1H Qualitative Data Analysis: Methodologies for Analysing Text and Talk,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1h/,"Please note: This course will be delivered in person at the Colchester campus. Online study is not available for this course. Lea Sgier spends part of her time teaching qualitative methods and doing research at the Department of Political Science of the University of Geneva (Switzerland). In the remaining time, she works as an independent research methods and research ethics consultant (currently for various European and Swiss research projects; LISER in Luxemburg, and for the evaluation company Evalux). She is also an instructor for a number of graduate programmes across the world (Essex SS, Hong Kong SS, Concordia University (Montreal) Methods Workshops, ENS (Paris), EPFL and CUSO Programmes in Switzerland etc.). She has also worked in capacity building functions (for LISER in Luxemburg and in international research cooperation with the Western Balkans and the South Caucasus). From 2010-17, she was an assistant professor in qualitative methodology at (US accredited) Central European University (CEU) in Budapest. Research wise, she has just completed a project (with Barbara Lucas, HETS GenÃ¨ve; Leenaards Foundation 2017-21) on institutionalised elderly peopleâs relation to politics and voting in French-speaking Switzerland, a project that involved small-scale ethnographic observation, qualitative interviews, an institutional survey and a legal analysis. Previously, she worked on gender issues in politics and on Â comparative old age and dementia policy. Â Course Content This is a course centred mainly on the analysis of textual data in an interpretive spirit. The main emphasis is on exploring various approaches to qualitative data analysis and interpretation, from thematic analysis and the logic of formalized âcodingâ, to interpretative approaches such as discourse and narrative analysis. We will discuss how each of these methods reveals different aspects of the data and is grounded in different research perspectives. We will review the nature, strengths and limits of various approaches and get acquainted with their practicalities through a series of practical exercises. We will also explore the implications of various types of analysis on the data generation stage, for qualitative interviewing in particular, and reflect upon issues such as appropriate topic guides, interviewing techniques and transcription practices. (This is not a full course on interviewing though, only the aspects directly connected to the data analysis stage will be discussed). Particular attention will also be given to the writing-up stage of qualitative analysis and its difficulties. Other topics to be addressed are the epistemological foundations of qualitative research, validity and reliability issues, as well as issues of interpretative authority and research ethics. The course consists of lectures and practical exercises. Participants will be invited to hand in various pieces of data analysis in the course of the two weeks. They will have the opportunity to work on their own data if they wish. Course Objectives The aim of this course is to familiarize participants with the practical application of qualitative data analysis, with an emphasis on interpretative methods. At the end of the course, participants will understand the implications of applying various methods to textual and interview data. Ultimately, the goal is to achieve a more sophisticated and critical attitude towards data, the research process and research reports. This is not an introductory course to qualitative methodology in general, but a doctoral-level course that focuses mostly on (textual) data analysis. It is suitable mainly for two types of participants: participants already engaged in research requiring textual analysis who are moving towards the data analysis stage and need to acquire some analytical tools for this; and participants at earlier stages of their research who wish to gain a general understanding of various approaches to textual analysis. Course Prerequisites Some experience with qualitative research (data collection, data analysis, epistemology) would be helpful. Remedial Reading Coffey, A. and Atkinson, P. 1996. Making Sense of Qualitative Data. Sage. Ritchie, J. et al. (eds) 2014. Qualitative Research Practice. A Guide for Social Scienists and Researchers. London: Sage (ch. 1, 10-13). Miles, M. Huberman, A. M. and SaldaÃ±a, J. 2014. Qualitative Data Analysis. A Methods Sourcebook, 3rd edition. Thousand Oaks: Sage (ch. 4, 6, 7). Representative Background Reading Butcher, H. K. et al. (2001). Thematic Analysis in the Experience of Making a Decision to Place a Family Member With Alzheimerâs Disease in a Special Care Unit. Research in Nursing&Health 24: 470-80. Tryandafyllidou, A. (2008). Popular Perceptions of Europe and the Nation: the Case of Italy. Nations and Nationalism 14(2): 261-282. Wetherell, M., Taylor, S. and Yates, S. G. (eds) 2001. Discourse as Data. A Guide for Analysis. London: Sage"
1J Categorical Data Analysis,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1j/,"Please note: This course will be delivered in person at the Colchester campus only. Online study is not available for this course. Tobias BÃ¶hmelt is a Professor in the Department of Government at the University of Essex (UK). His main research and teaching interests are civil military relations, conflict resolution and management, environmental politics, international cooperation, migration, party politics and spatial analysis.Â Course Content This course offers an application-oriented introduction to maximum likelihood (ML) based models for categorical, discrete choice, and count data. We begin with the basics of ML estimation and a discussion of the theoretical foundations of categorical, discrete choice, and count-data models. We then focus on exploring logistic and probit regression models and learn how to apply them in the statistical software package Stata. Afterwards, we cover interpretation and hypothesis for testing these kinds of models. Against this background, we will consider more complicated estimation strategies, including ordered logit and probit regression models, multinomial logits, count models, or discrete duration models. The course concludes with an overview of advanced techniques of models for time-series cross-section (TSCS) categorical, discrete choice, and count data. Course Objectives After this course, participants will be able to understand models for categorical, discrete choice, and count data most commonly used in the social sciences, and properly apply and interpret these models in their own work. Course Prerequisites Participants are assumed to have a basic knowledge of multiple linear regression. Some familiarity with linear algebra and experience estimating regression models with statistical software might also be helpful, but not essential to success in the course. Representative Background Readings Gujarati, Damodar N., and Dawn C. Porter. 2009. Essentials of Econometrics. Fourth Edition. New York: Irwin/McGraw-Hill. Kohler, Ulrich, and Frauke Kreuter. 2012. Data Analysis Using Stata. Third Edition. College Station, TX: Stata Press. Long, J. Scott. 1997. Regression Models for Categorical and Limited Dependent Variables. Thousand Oaks, CA: Sage Publications. Long, Scott J., and Jeremy Freese. 2014. Regression Models for Categorical Dependent Variables Using Stata. Third Edition. College Station, TX: Stata Press. Required Reading â this text will be provided by ESS: Train, Kenneth E. 2009. Discrete Choice Models with Simulation. Second Edition. Cambridge: Cambridge University Press.Â Background knowledge required Statistics OLS = elementary Maths: Linear Regression = elementary"
1M Introduction to Quantitative Methods in R,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1m-introduction-to-quantitative-methods-in-r/,"Please note: This course will be taught in hybrid mode. Hybrid delivery of courses will include synchronous live sessions during which on campus and online students will be taught simultaneously. Rabia Malik is a Lecturer/Assistant Professor in the Department of Government at the University of Essex, which she joined in July 2020. Before this, she received her Ph.D. in Political Science from the University of Rochester in 2016, was a Post-Doctoral Associate at New York University Abu Dhabi (2016-2019) and spent a year at the Lahore University of Management Sciences (LUMS). Her research uses both observational and experimental data to study questions related to distributive politics and development, political accountability, clientelism, and gender, particularly in South Asia. She has also taught classes on quantitative methods, authoritarianism, and South Asian politics. Rabiaâs research has appeared in The Journal of Politics, The British Journal of Political Science, Comparative Political Studies and Legislative Studies Quarterly. Course description and goals: This course introduces participants to the analysis of quantitative data both theoretically and empirically. Introductory quantitative methods will be covered along with an introduction to the free, open-source software R. R is a highly versatile software environment suitable for introductory and advanced quantitative social science and data analysis. The course offers participants a near-complete foundation for introductory quantitative analysis and to use R for all commonly encountered tasks in social science data analytics. The primary goal of the course is to equip participants with the tools necessary to conduct their own data analysis independently. To do so, the course will cover relevant statistical and descriptive techniques with a strong focus on applied skills and data visualization that will be introduced using R. The course will cover various topics, both theoretically and in R, including the following: â Introduction to R and programming in R â Descriptive statistics â Data visualization with advanced R packages â Data import and management, including working with âmessyâ datasets â Variable types and creating new variables in R â Data uncertainty â Correlations and causal relationships â Linear regressions, assumptions, interpretation â Non-linear relationships in OLS â Binary dependent variables Course Objectives:Upon successful completion of the course, participants will be able to consume quantitative texts for social science, download and manage messy datasets, describe and visualize various sorts of data, conduct their own statistical analyses, and use R for most commonly encountered tasks in social science data analysis. Participants will leave with the knowledge of a range of introductory statistical techniques and the ability to implement these in their own research. They will also be comfortable using R for descriptive and statistical analyses, and for managing complex datasets. The course is most suitable for researchers at the beginning of their quantitative training though those with existing background in quantitative social sciences wishing to acquire a new, free, open- source, and highly versatile set of tools (in R) will also benefit. Participants will also learn to incorporate data analysis and document creation (via R Markdown). Course Prerequisites: Participants are advised to have a basic background in introductory statistics or concurrently be enrolled in an introductory statistics course. However, initial exposure to statistical techniques up to linear regression (at a fundamental level) is not required as the course will go through necessary background concepts as well. No background in R or computer programming is required or expected. The course introduces R from a beginnerâs perspective. Representative Background Reading:Since this is an introductory course, participants are not required to do any prior reading. Required text (will be provided by ESS): Agresti, Alan. (2018). Statistical Methods for the Social Sciences (Fifth Edition). Pearson. Background knowledge required: Maths: Calculus â Elementary Linear Regression â Elementary Statistics: OLS â Elementary It is helpful if students have some background on these topics but not a requirement. For participation in this course, students are required to bring with them their own laptops."
"1Q Doing Discourse Analysis: Populism, Neoliberalism and Radical Democratic Politics",https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/doing-discourse-analysis/,"Please note: This course will be taught online only. In person study is not available for this course.Â David Howarth is Professor of Political Theory in the Department of Government at the University of Essex, and Co-Director of the Centre for Ideology and Discourse Analysis. His publications include DiscourseÂ (Buckingham: Open University Press, 2000);Â Poststructuralism and AfterÂ (London: Palgrave, 2013);Â Logics of Critical Explanation in Social and Political TheoryÂ (co-authored with Jason Glynos) (London: Routledge, 2007); The Politics of Sustainable AviationÂ (co-authored with Steven Griggs) (Manchester: Manchester University Press, 2013) and Ernesto Laclau: Post-Marxism, Populism and Critique (Routledge, 2014). He has published numerous articles on political theory, social movements, public policy, and environmental protest in journals including theÂ British Journal of Politics and International Relations,Â Critical Discourse Studies, Environment and Planning C: Politics and Space,Â Journal of Political Ideologies,Â Journal of Urban Affairs,Â Mobilization, Parliamentary Affairs,Â Political Geography,Â Political Quarterly,Â andÂ Political Studies. Dr Konstantinos (Kostis) Roussos is a Lecturer at the School of Health and Social Care (Social Work and Social Justice Division), and founding member of the Centre for Ideology and Discourse Analysis at the Department ofÂ Government at the University of Essex. He holds a PhD in Government from the University of Essex. His research, articles and blogs focus primarily on political and social theory (with emphasis on post-structuralist and post-Marxist theory), social movement studies, the commons, and radical democratic theory and practice. His current research explores discourses and practices in grassroots welfare provisioning and community development. For more details please see here: https://www.essex.ac.uk/people/rouss97802/konstantinos-roussos JimenaÂ Vazquez Garcia is a lecturer in the Government Department at the University of Essex. Previously, she was post-doctoral researcher at Anglia Ruskin University. She holds a PhD in Ideology and Discourse Analysis from the University of Essex and is a member of the Centre for Ideology and Discourse Analysis. Her research focuses on theories of political subjectivation and critique in Michel Foucaultâs thought. Her current interests revolve around ideas of care, digital subjectivities and counter-hegemonic practices. Course Content Â A central claim of discourse theory is that meaning, subjectivity, and agency are constructed within relational structures that are shaped and re-shaped through political struggle. This course introduces the basic concepts of poststructuralist discourse theory, understood as a distinctive, qualitative approach to critical empirical research. The course situates this approach in relation to competing approaches to social and political analysis that take discourse and meaning seriously, and contextualises it also in relation to key debates in the philosophy of natural and social science. The main aim of the course, however, is to address the challenging question of âapplyingâ discourse theory to empirical phenomena in the name of understanding, explanation, and critique. Drawing inspiration from poststructuralism and psychoanalysis, it serves as a forum to discuss research strategies that are consonant with the field of discourse theory, and outlines conceptual frameworks that can be employed in the analysis of concrete discourses and practices. A range of concepts and themes are examined with particular reference to the work of thinkers such as Ernesto Laclau, Chantal Mouffe, Judith Butler, Antonio Gramsci, Wendy Brown, Michel Foucault, Jacques Derrida, and Slavoj Å½iÅ¾ek. Such concepts and themes are considered from the point of view of methodology and research strategy, and include discourse and practice, hegemony and antagonism, politics and dislocation, performativity and subjectivity, fantasy and ideology, feminism and the commons, populism and radical democracy. It uses empirical cases to illustrate broad methodological and theoretical points, from general considerations regarding qualitative methods appropriate to poststructuralist discourse theory, to more focused considerations of rhetorical, ethnographic, participatory, and psycho-social dimensions of research, including the place and role of the analyst in the process of research. The illustrations will focus on the emergence and hegemonic consolidation of neoliberal discourses and practices in different contexts; the logic and functioning of policy discourses; the rise and character of populist movements and other forms of radical democratic politics; the role of organizational, media and digital practices in contemporary capitalism; the character of urban regimes and novel forms of commoning; and more besides. As part of this course participants are invited to present and thematise their own research topics and proposals Discussion of Participantâs Research Projects Participants are encouraged to submit a short 1,500 word outline of their own research interests and projects, and the sorts of challenges being faced, methodological or otherwise. Outlines should be emailed to David Howarth (davidh@essex.ac.uk), Konstantinos Roussos (k.roussos@essex.ac.uk) and Jimena Vazquez (j.vazquezgarcia@essex.ac.uk) and headed âEssex Summer Schoolâ, at least one week before the start of the course, so that they can be built into the programme. Time is allocated at the end of the course for collective discussion of participant research topics and proposals. Course Aims & Objectives Participants will become familiar with the basic assumptions, concepts and logics of poststructuralist discourse theory, exploring their implications for conducting social and political analysis and analyzing policy discourses. At the end of the course, participants will: â¢ be conversant with major literatures and debates in the field of discourse analysis; â¢ have acquired a solid grounding in poststructuralist discourse theory and its application to social and political analysis and critique; â¢ be well-grounded in theoretical and methodological issues arising in this field; â¢ be familiar with key dimensions of critical empirical research relevant to the design of a research strategy in this field; â¢ be able to conduct independent theoretical and empirical research in the field of discourse analysis, focussed on the location of puzzles, the problematization of relevant literatures, the construction of research questions, and the gathering and analysis of data; â¢ finish with a keen sense of the critical role that discourse plays both in theory and in social and political practice. Course Prerequisites No specialised background knowledge is presupposed in this course, but it would be helpful if participants have some familiarity with basic social science theory. Key Texts Although a reading pack will be made available, participants may find it helpful to have access to copies of the following texts, which cover key issues addressed in the course: Glynos, J. and Howarth, D. 2007. Logics of Critical Explanation in Social and Political Theory. Routledge â (this text will be provided by ESS) Howarth, D. 2000. Discourse. Open University Press. Griggs, S. and Howarth, D. 2013. The Politics of Airport Expansion in the United Kingdom: Hegemony, Policy and the Rhetoric of âSustainable Aviationâ, Manchester University Press. Howarth, D. 2013. Poststructuralism and After: Structure, Agency and Power. Stavrakakis, Y. 1999. Lacan and the Political. Routledge. Laclau, E. 2005. On Populist Reason. Verso. Â Representative Background Reading: JÃ¸rgensen, M. & Phillips, L. P. 2002. Discourse Analysis as Theory and Method. Sage. Torfing, J. 1999. New Theories of Discourse: Laclau, Mouffe, and Å½iÅ¾ek. Blackwell. Glynos, J., Howarth, D., Norval, A., and Speed, E. 2009. âDiscourse Analysis: Varieties and Methodsâ, ESRC National Centre for Research Methods, NCRM/014,Â http://eprints.ncrm.ac.uk/796/1/discourse_analysis_NCRM_014.pdf Laclau, E., âDiscourseâ in Goodin, Robert A., and Philip Pettit, eds., A Companion to Contemporary Political Philosophy (Oxford: Blackwell, 1993) pp. 431-437. Laclau, E., and Mouffe, C. 1987. âPost-Marxism without Apologiesâ, New Left Review 166: 79-106. Å½iÅ¾ek, S. (1989) The Sublime Object of Ideology, London: Verso. Howarth, D., A.J. Norval and Y. Stavrakakis, Discourse Theory and Political Analysis. Laclau, E., & C. Mouffe, Hegemony and Socialist Strategy (London: Verso, 1985, 2001 2nd Edition). Laclau, E. New Reflections on the Revolution of Our Time (London: Verso, 1990). Marttila, Tomas (ed.) (2018) Discourse, Culture and Organization. Inquiries into Relational Structures of Power, Palgrave. Stavrakakis, Yannis & Galanopoulos, Antonis (2018) âErnesto Laclau and Communication Studiesâ, Oxford Research Encyclopaedia of Communication, DOI: 10.1093/acrefore/9780190228613.013.590,Â Ernesto Laclau and Communication Studies â Oxford Research Encyclopedia of Communication Stavrakakis, Yannis, The Lacanian Left (Albany: SUNY Press, 2007)."
1C Introduction to Regression,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1c-applying-regression/,"Please note: This course will be taught online only. In person study is not available for this course. Tor Georg Jakobsen is a Professor in Political Science at the NTNU Business School. He is co-author (with Mehmet Mehmetoglu) of Applied Statistics using Stata: A Guide for the Social Sciences (Sage 2016) and has authored and co-authored numerous articles in, among others, European Sociological Review, Work, Employment & Society, Regional Studies, and Conflict Management & Peace Science. His research interest includes political behavior, sports economics, and statistical methods. Jakobsen is also winner of the 2020 Bernard Brodie Prize (together with Jo Jakobsen). He has taught quantitative courses at all levels. Course Content This course covers regression analysis, both with continuous, ordinal, and categorical dependent variables. The focus will be on applied regression analysis, yet we will also deal with related topic like data treatment in Stata, interpretations, and how to test regression assumptions. The course includes ordinary least squares regression, logistic, ordinal, and multinomial regression, how to model and interpret non-linear effects as well as different types of statistical interactions. We will also focus on how to deal with breaches of assumptions. Course Objectives The course will enable the students to perform a range of regression models, to work with data treatment, and to be able to critically evaluate and interpret different types of regression models. Course Prerequisites The students should have some knowledge about basic descriptive statistics, measures of central tendency and spread. It is also good to have some knowledge about the statistical software Stata. However, instruction and notes will be made available, so it is possible for everyone to follow (though you must work harder if you do not have previous knowledge). The course will, to a large degree, follow the structure of the book Applied Statistics using Stata. In the reading list are also included short Sage books from the series Quantitative Application in the Social Sciences that dwell deeper into the topics of logistic regression and missing data (note that these are not Stata-books but deals more with statistical theory). In the recommended readings section, I have included to Stata introduction books for those who are not very comfortable with this software (you only need one of these), as well as a book on dummy variables and some additional chapters in our main book. Course material The students will have access to lectures, computer lab assignments, and datasets. The former two are also available as video-recordings (links to the lectures and computer instructions will be provided). There will be one topic each day, with a combination of online teaching with a following computer lab for each lecture (both will be through Zoom). Be aware that even though the course is divided into 10 topics, some topics require more work than others (especially topic #3). Required Texts Mehmetoglu, Mehmet & Tor G. Jakobsen (2022). Applied Statistics using Stata: A Guide for the Social Sciences, 2nd ed. Thousand Oaks, CA: Sage. Chapters: 1, 2, 3, 4, 5, 6, 7, 8 & 15. â (this text will be provided by ESS) Recommended Readings Acock, Alan C. (2018). A Gentle Introduction to Stata, 6th ed. College Station, TX: Stata Press. Hardy, Melissa A. (1993). Regression with Dummy Variables. Thousand Oaks, CA: Sage. Â Part 1: Introduction to Stata, Research and Statistics Research and statistics Introduction to Stata Â Part 2: Regression analysis Bivariate regression Multiple regression Dummy-variable regression Interaction effects Assumptions and diagnostics Logistic regression Â Part 3: Advanced topics Critical issues Advanced topics Â Background knowledge required It is an introduction course, so a little background in e.g. Stata is an advantage, but not necessary (as the candidates will learn it during the course) Â POTENTIAL ESS APPLICANTS ARE TO BE ADVISED THAT RECORDINGS WILL NOT BE MADE AVAILABLE FOR THIS COURSE."
1D Introduction to Social Network Analysis,https://essexsummerschool.com/summer-school-facts/courses/ess-2024-course-list/1d-introduction-to-social-network-analysis/,"Please note: This course will be taught online only. In person study is not available for this course. John Barry Ryan is an associate professor at the University of Michigan with a joint appointment in the Departments of Political Science and Communication and Media. He studies political campaign communication, social influence, and public opinion. His latest co-authored books are The Other Divide and Partisan Hostility and American Democracy. Course Content The focus of this course is studying social influence. Standard statistical models and survey measures implicitly assume that individuals are atomistic and come to their attitudes without influence from others individuals â who might also be in the dataset. There are various techniques for overcoming these assumptions and studying individuals as interdependent members of a social group. Social network analysis considers the entire network â a population of connected people. This methods requires a different conceptualization of what is a âcaseâ in a dataset. It also requires a particular dataset that can be hard to obtain. For this reason, we will also examine alternative means for studying social influence using surveys and experimental methods. Course Objectives At the end of the course, participants should be able to: â¢ Collect social network data for studying public opinion. â¢ Calculate summary statistics for a network. â¢ Produce network graphs in R. â¢ Design surveys for studying influence without using social network analysis. Course Prerequisites Course participants who want to take part in the hands-on analysis components of the course will benefit from having some familiarity with R, but it is not required. Participants should be comfortable with descriptive statistics and should be familiar with OLS regression. No additional background readings are required for this course. Background knowledge required Maths Linear regression â moderate Statistics OLS â moderate Maximum likelihood â elementary"
